DATE,MEDDAYONMARNJ,MEDLISPRIMM34017,MEDLISPRIPERSQUFEENJ,MEDLISPRIPERSQUFEEMM34025,MEDLISPRIMM34009,MEDLISPRI34023,MEDLISPRI34003,NJSTHPI,CORESTICKM159SFRBATL,UNRATE,CORESTICKM159SFRBATL_normalized,UNRATE_normalized
1955-03-01,,,,,,,,,,4.6,,-0.635416193825469
1955-04-01,,,,,,,,,,4.7,,-0.5769244076127009
1955-05-01,,,,,,,,,,4.3,,-0.8108915524637722
1955-06-01,,,,,,,,,,4.2,,-0.8693833386765397
1955-07-01,,,,,,,,,,4.0,,-0.9863669111020753
1955-08-01,,,,,,,,,,4.2,,-0.8693833386765397
1955-09-01,,,,,,,,,,4.1,,-0.9278751248893078
1955-10-01,,,,,,,,,,4.3,,-0.8108915524637722
1955-11-01,,,,,,,,,,4.2,,-0.8693833386765397
1955-12-01,,,,,,,,,,4.2,,-0.8693833386765397
1956-01-01,,,,,,,,,,4.0,,-0.9863669111020753
1956-02-01,,,,,,,,,,3.9,,-1.0448586973148433
1956-03-01,,,,,,,,,,4.2,,-0.8693833386765397
1956-04-01,,,,,,,,,,4.0,,-0.9863669111020753
1956-05-01,,,,,,,,,,4.3,,-0.8108915524637722
1956-06-01,,,,,,,,,,4.3,,-0.8108915524637722
1956-07-01,,,,,,,,,,4.4,,-0.7523997662510041
1956-08-01,,,,,,,,,,4.1,,-0.9278751248893078
1956-09-01,,,,,,,,,,3.9,,-1.0448586973148433
1956-10-01,,,,,,,,,,3.9,,-1.0448586973148433
1956-11-01,,,,,,,,,,4.3,,-0.8108915524637722
1956-12-01,,,,,,,,,,4.2,,-0.8693833386765397
1957-01-01,,,,,,,,,,4.2,,-0.8693833386765397
1957-02-01,,,,,,,,,,3.9,,-1.0448586973148433
1957-03-01,,,,,,,,,,3.7,,-1.1618422697403785
1957-04-01,,,,,,,,,,3.9,,-1.0448586973148433
1957-05-01,,,,,,,,,,4.1,,-0.9278751248893078
1957-06-01,,,,,,,,,,4.3,,-0.8108915524637722
1957-07-01,,,,,,,,,,4.2,,-0.8693833386765397
1957-08-01,,,,,,,,,,4.1,,-0.9278751248893078
1957-09-01,,,,,,,,,,4.4,,-0.7523997662510041
1957-10-01,,,,,,,,,,4.5,,-0.6939079800382365
1957-11-01,,,,,,,,,,5.1,,-0.3429572627616302
1957-12-01,,,,,,,,,,5.2,,-0.2844654765488621
1958-01-01,,,,,,,,,,5.8,,0.06648524072774424
1958-02-01,,,,,,,,,,6.4,,0.4174359580043511
1958-03-01,,,,,,,,,,6.7,,0.5929113166426543
1958-04-01,,,,,,,,,,7.4,,1.0023538201320288
